time;power (watt)
14:58:48;11,38
14:58:49;11,75
14:58:50;11,01
14:58:51;11,07
14:58:52;11,02
14:58:53;11,03
14:58:54;11,04
14:58:55;11,06
14:58:56;11,01
14:58:57;11,07
14:58:58;11,07
14:58:59;11,04
14:59:00;11,07
14:59:01;11,06
14:59:02;11,54
14:59:03;11,18
14:59:04;11,03
14:59:05;11,06
14:59:06;11,03
14:59:07;11,31
14:59:08;11,54
14:59:09;11,07
14:59:10;11,01
14:59:11;11,03
14:59:12;11,05
14:59:13;11,03
14:59:14;11,02
14:59:15;11,07
14:59:16;11,03
14:59:17;11,03
14:59:18;11,05
14:59:19;11,04
14:59:20;11,01
14:59:21;11,08
14:59:22;11,01
14:59:23;11,05
14:59:24;11,05
14:59:25;11,06
14:59:26;11,02
14:59:27;11,08
14:59:28;11
14:59:29;11,05
14:59:30;11,05
14:59:31;11,03
14:59:32;11,02
14:59:33;11,07
14:59:34;11,53
14:59:35;11,09
14:59:36;11,06
14:59:37;11,03
14:59:38;11,02
14:59:39;11,06
14:59:40;11
14:59:41;11,04
14:59:42;11,05
14:59:43;11,03
14:59:44;11
14:59:45;11,01
14:59:46;11,01
14:59:47;11,02
14:59:48;11,01
14:59:49;11,03
14:59:50;11
14:59:51;11
14:59:52;11,01
14:59:53;11
14:59:54;11,02
14:59:55;11,02
14:59:56;11,02
14:59:57;11,01
14:59:58;11,01
14:59:59;11,01
15:00:00;11
15:00:01;11,01
15:00:02;11,02
15:00:03;11,01
15:00:04;11,01
15:00:05;11,02
15:00:06;11,03
15:00:07;11,03
15:00:08;10,99
15:00:09;11,01
15:00:10;11
15:00:11;11,01
15:00:12;10,99
15:00:13;11
15:00:14;11,03
15:00:15;11
15:00:16;11,04
15:00:17;11
15:00:18;11,02
15:00:19;11,01
15:00:20;11,02
15:00:21;11,01
15:00:22;11
15:00:23;11
15:00:24;11
15:00:25;11,03
15:00:26;11,01
15:00:27;11,03
15:00:28;11
15:00:29;11,03
15:00:30;11,01
15:00:31;11
15:00:32;11,01
15:00:33;11
15:00:34;11,01
15:00:35;11,01
15:00:36;11,01
15:00:37;11,02
15:00:38;11,02
15:00:39;11,01
15:00:40;11,06
15:00:41;11,07
15:00:42;11,02
15:00:43;11,04
15:00:44;11,71
15:00:45;11,42
15:00:46;11,05
15:00:47;11,01
15:00:48;11,07
